iter	Passed	Remaining
0	154	15278
1	155	7607
2	155	5043
3	156	3764
4	157	2991
5	158	2476
6	158	2108
7	159	1832
8	160	1617
9	160	1445
10	161	1303
11	161	1186
12	162	1086
13	162	1000
14	163	927
15	164	862
16	164	805
17	166	756
18	166	711
19	167	669
20	167	631
21	168	597
22	168	565
23	169	536
24	170	510
25	170	485
26	171	462
27	171	441
28	172	423
29	173	404
30	173	387
31	174	370
32	175	355
33	175	341
34	176	328
35	177	315
36	178	303
37	178	291
38	179	280
39	180	270
40	180	260
41	181	250
42	181	241
43	182	231
44	182	223
45	183	215
46	183	207
47	184	199
48	185	192
49	185	185
50	186	179
51	187	172
52	187	166
53	188	160
54	189	154
55	189	148
56	190	143
57	191	138
58	191	133
59	192	128
60	193	123
61	194	118
62	194	114
63	195	109
64	196	105
65	196	101
66	197	97
67	197	93
68	198	89
69	198	85
70	199	81
71	200	77
72	200	74
73	201	70
74	202	67
75	202	64
76	203	60
77	204	57
78	204	54
79	205	51
80	206	48
81	207	45
82	208	42
83	209	39
84	209	37
85	210	34
86	210	31
87	211	28
88	212	26
89	212	23
90	213	21
91	214	18
92	215	16
93	216	13
94	216	11
95	217	9
96	218	6
97	218	4
98	219	2
99	219	0
